Academic Period,Course Section,AMH CF LRV Course Definition,Course Title,Registration Status,Anonymized ID
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,80709552
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,302970780
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,118225886
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,115113739
Fall 2024,ENGL 151-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,115169261
Fall 2024,ENGL 151-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,118019237
Fall 2024,ENGL 151-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,118011790
Fall 2024,ENGL 151-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117077964
Fall 2024,ENGL 151-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117957297
Fall 2024,ENGL 151-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,118189134
Fall 2024,ENGL 151-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117059558
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117921937
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117951182
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,303032054
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117941918
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,114824987
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117878706
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117852429
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117876103
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,117973524
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,118395541
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,116229813
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,118104367
Fall 2024,AMST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,242217359
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,118027048
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,116094308
Fall 2024,BLST 130-01 - Transnational America,AMST 130/ BLST 130 - Transnational America,Transnational American Studies,Registered,118019601
